url,date,title,changes,file_name,reason_for_consistence,is_trivial,old_hunk_file,new_hunk_file,old_loc,new_loc,old_log,new_log,edit_types,edit_words,edit_feature,cluster
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1079.cpp,use same text format,trivial,data/crawl/make/old_hunk_1079.cpp,data/crawl/make/new_hunk_1079.cpp,8,8,"printf ("" (from `%s', line %lu):\n"",
            cmds->fileinfo.filenm, cmds->fileinfo.lineno);","printf (_("" (from `%s', line %lu):\n""),
            cmds->fileinfo.filenm, cmds->fileinfo.lineno);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1081.cpp,use same text format,trivial,data/crawl/make/old_hunk_1081.cpp,data/crawl/make/new_hunk_1081.cpp,3,3,"printf (""# %s: could not be stat'd.\n"", dir->name);","printf (_(""# %s: could not be stat'd.\n""), dir->name);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1081.cpp,use same text format,trivial,data/crawl/make/old_hunk_1081.cpp,data/crawl/make/new_hunk_1081.cpp,6,6,"printf (""# %s (key %s, mtime %d): could not be opened.\n"",
                  dir->name, dir->contents->path_key,dir->contents->mtime);","printf (_(""# %s (key %s, mtime %d): could not be opened.\n""),
                  dir->name, dir->contents->path_key,dir->contents->mtime);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1081.cpp,use same text format,trivial,data/crawl/make/old_hunk_1081.cpp,data/crawl/make/new_hunk_1081.cpp,10,10,"printf (""# %s (device %d, inode [%d,%d,%d]): could not be opened.\n"",
		  dir->name, dir->contents->dev,
		  dir->contents->ino[0], dir->contents->ino[1],
		  dir->contents->ino[2]);","printf (_(""# %s (device %d, inode [%d,%d,%d]): could not be opened.\n""),
		  dir->name, dir->contents->dev,
		  dir->contents->ino[0], dir->contents->ino[1],
		  dir->contents->ino[2]);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1081.cpp,use same text format,trivial,data/crawl/make/old_hunk_1081.cpp,data/crawl/make/new_hunk_1081.cpp,15,15,"printf (""# %s (device %ld, inode %ld): could not be opened.\n"",
		  dir->name, (long int) dir->contents->dev,
		  (long int) dir->contents->ino);","printf (_(""# %s (device %ld, inode %ld): could not be opened.\n""),
		  dir->name, (long int) dir->contents->dev,
		  (long int) dir->contents->ino);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1082.cpp,use same text format,trivial,data/crawl/make/old_hunk_1082.cpp,data/crawl/make/new_hunk_1082.cpp,3,3,"printf (""# %s (key %s, mtime %d): "",
                    dir->name, dir->contents->path_key, dir->contents->mtime);","printf (_(""# %s (key %s, mtime %d): ""),
                    dir->name, dir->contents->path_key, dir->contents->mtime);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1082.cpp,use same text format,trivial,data/crawl/make/old_hunk_1082.cpp,data/crawl/make/new_hunk_1082.cpp,7,7,"printf (""# %s (device %d, inode [%d,%d,%d]): "",
		    dir->name, dir->contents->dev,
			dir->contents->ino[0], dir->contents->ino[1],
			dir->contents->ino[2]);","printf (_(""# %s (device %d, inode [%d,%d,%d]): ""),
		    dir->name, dir->contents->dev,
			dir->contents->ino[0], dir->contents->ino[1],
			dir->contents->ino[2]);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1082.cpp,use same text format,trivial,data/crawl/make/old_hunk_1082.cpp,data/crawl/make/new_hunk_1082.cpp,12,12,"printf (""# %s (device %ld, inode %ld): "",
		    dir->name,
                    (long)dir->contents->dev, (long)dir->contents->ino);","printf (_(""# %s (device %ld, inode %ld): ""),
		    dir->name,
                    (long)dir->contents->dev, (long)dir->contents->ino);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1082.cpp,use same text format,trivial,data/crawl/make/old_hunk_1082.cpp,data/crawl/make/new_hunk_1082.cpp,18,18,"fputs (""No"", stdout);","fputs (_(""No""), stdout);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1082.cpp,use same text format,trivial,data/crawl/make/old_hunk_1082.cpp,data/crawl/make/new_hunk_1082.cpp,21,21,"fputs ("" files, "", stdout);","fputs (_("" files, ""), stdout);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
